City,Insula,Main Entrance,Secondary entrances,AGP Name,English Name,Italian Name,Category,OSM Tag,OSM ID,OSM Way ID,Herculaneum Panoramas link,Parco Archeologico Links,Source of info,Other notes
Herculaneum,V,35,,House of the Grand Portal,House of the Grand Portal,Casa del Gran Portale ,House,,,305741669,"http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Gran_Portale/F27-04_Gran_Portale/F27-04_Gran_Portale.html
Herculaneum,VI,"1,7-10",,Central Baths,Central Baths,Terme Centrali,Baths,Baths,,303765631,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Terme/F30-02_Terme/F30-02_Terme.html,"http://www.pompeiisites.org/Sezione.jsp?titolo=Le+terme+maschili+%28VI%2C1%29&idSezione=199
Herculaneum,VI,2-3,,,,(leave blank),,Building,,303765630,,,,
Herculaneum,VI,4-6,,,,(leave blank),Public building,,,321889709,,,Monteix calls 6 a shop,
Herculaneum,VI,13,11,House of the Black Salon,House of the Black Salon,Casa del Salone Nero ,House,House,,303765629,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Salone_Nero/F36-07_Salone_Nero/F36-07_Salone_Nero.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+del+Salone+Nero&idSezione=193,,
Herculaneum,VI,12,,Workshop of Plumbarius ,Workshop of Plumbarius ,Bottega del Plumbarius,Workshop ,,,304670446,,http://www.pompeiisites.org/Sezione.jsp?titolo=Bottega+del+Plumbarivs+%28VI%2C12%29&idSezione=219,pompeiisites.org,
Herculaneum,VI,14,,Shop? Taberna ad cucumas?,Shop? Taberna ad cucumas?,Caupona o Bottega ad cucumas,"Shop, Tavern",,,305011552,,http://www.pompeiisites.org/Sezione.jsp?titolo=Caupona+o+bottega+ad+cucumas+%28VI%2C14%29&idSezione=214,"Monteix has as boutique, pompeiisites.org as caupona o bottega ad cucumas and Scherillo has as taberna vinaria di Santhus",
Herculaneum,VI,15,,Shop,Shop,Bottega ,Shop,,,305011137,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+bottega+%28VI%2C15%29&idSezione=213,Monteix,
Herculaneum,VI,16,,Shop,Shop,Bottega,Shop,,,304670441,,,Monteix,
Herculaneum,VI,17,26-27,House of the Tuscan Colonnade,House of the Tuscan Colonnade,Casa del Colonnato Tuscanico,House,House,,302657214,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F32-02_Dec_Mass/F32-02_Dec_Mass.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+del+Colonnato+Tuscanico&idSezione=192,,
Herculaneum,VI,18,,Shop,Shop,Bottega,Shop ,,,304670439,,,Monteix,
Herculaneum,VI,19,,Taberna,Taberna,Taberna,Tavern,,,304670438,,,"Monteix calls boutique, insula map calls taberna, pompeiisites.org=taberna ",
Herculaneum,VI,20,,Sacred space,Sacred space,Il sacello ,Sacred space,,,514581297,,http://www.pompeiisites.org/Sezione.jsp?titolo=Il+sacello+%28VI%2C20%29&idSezione=205,pompeiisites.org,
Herculaneum,VI,21,22-24,So-called College of the Augustales (Curia),So-called College of the Augustales (Curia),Sede degli Augustali ,Public building,,,168362546,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Augustali/F41-08/F41-08.html,http://www.pompeiisites.org/Sezione.jsp?titolo=Sede+degli+Augustali+%28VI%2C21+E+24%29&idSezione=204,,
Herculaneum,VI,25,,Shop,Shop,,Shop,,,,,,Monteix,
Herculaneum,VI,29,28,House of the Two Atria,House of the Two Atria,Casa dei Due Atri,House,House,,302657215,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Due_Atri/F42-02_Due_Atri/F42-02_Due_Atri.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+dei+Due+Atri&idSezione=191,,
Herculaneum,VI,30,,Shop,Shop,Bottega,Shop,,,,,,,
Herculaneum,VII,1,,,,,,,,321566026,,,,
Herculaneum,VII,2,,House of Galba,House of Galba,Casa di Galba,House,,,321566027,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Galba/HTML5_panos/F13-04_Galba/F13-04_Galba.html,,,
Herculaneum,VII,3-6,,,,,,,,321566028,,,,
Herculaneum,InsulaOrientalisI,1,,House of the Gem ,House of the Gem ,Casa della Gemma ,House,House,,310743676,"http://donovanimages.co.nz/proxima-veritati/Herculaneum/InsulaOrientalisI/index.html
Herculaneum,InsulaOrientalisI,1a,,House of Granianus,House of Granianus,Casa di Granianus,House,,,311208577,,,,
Herculaneum,InsulaOrientalisI,2,3,House of the Telephus Relief ,House of the Telephus Relief ,Casa del Rilievo di Telefo ,House,House ,,310743015,"http://donovanimages.co.nz/proxima-veritati/Herculaneum/InsulaOrientalisI/index.html
Herculaneum,InsulaOrientalisII,1,,Shop,Shop,Bottega,Shop,,,310742619,,,,
Herculaneum,InsulaOrientalisII,2-3,,,,Pistrinum ,Bakery,,,310742618,,,,
Herculaneum,InsulaOrientalisII,4,,Palaestra ,Palaestra ,Palestra,Public Building,,,310367639,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F41-02_Palestra/F41-02_Palestra.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+palestra+%28ins.+or.+II%2C4%29&idSezione=206,pompeiisites.org,
Herculaneum,InsulaOrientalisII,5,,Dye shop (officina tinctoria),Dye shop ,Officina tinctoria,Workshop,,,310369439,,,,
Herculaneum,InsulaOrientalisII,6,,Wineshop of Livius Alcimus,Wineshop of Livius Alcimus,Taberna vinaria,Shop,,,310369437,,,Wallace-Hadrill,
Herculaneum,InsulaOrientalisII,7,,Passageway,Passageway,,,,,310376621,,,,
Herculaneum,InsulaOrientalisII,8,,Bakery (Pistrinum),Bakery (Pistrinum),Pistrinum di Sex. Patulcius Felix ,Bakery,,,310368403,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Insula_Orientalis_II/HTML5_panos/F02-03/F02-03.html,http://www.pompeiisites.org/Sezione.jsp?titolo=Pistrinum+di+Sex+Patulcius+Felix+%28Ins.+Or.+II%2C8%29&idSezione=212,pompeiisites.org,Pistrinum (Bakery) of Sex. Patulcius Felix
Herculaneum,InsulaOrientalisII,9,,Wineshop of Antigonus,Wineshop of Antigonus,Taberna vinaria,Shop ,,,311208309,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Insula_Orientalis_II/HTML5_panos/F02-01/F02-01.html,,Scherillo,Taberna of L. A(utronius) Antigonus
