EDR,Latin description,English description,Langner Number,CIL IV.#,Translation removed from EDR?,Image of CIL entry uploaded?,Other notes,Drawing Category,,,,,,,,,,,,,,,,,,
,Take Latin description from EDR,English translation of description,,,Has the translation been removed yet? Yes/No,N/A if Langner has but not in CIL,,,,,,,,,,,,,,,,,,,,
EDR148861,quadratum,rectangle,167,,,,,,,,,,,,,,,,,,,,,,,
EDR148862,viri herma ad sin. conversus,head of a man,496,,,,,,,,,,,,,,,,,,,,,,,
EDR148863,avis,bird,1754,,,,,,,,,,,,,,,,,,,,,,,
EDR148864,avis stans,bird standing,1755,,,,,,,,,,,,,,,,,,,,,,,
EDR148865,avis stans,bird standing,1756,,,,,,,,,,,,,,,,,,,,,,,
EDR148874,scutum,shield,959,,,,,,,,,,,,,,,,,,,,,,,
EDR148875,navis cum malo velo et remis,"ship with mast, sail and oars",1886,,,,,,,,,,,,,,,,,,,,,,,
EDR148876,navis cum remis maloque,ship with mast and oars,1904,,,,,,,,,,,,,,,,,,,,,,,
EDR148877,navis cum malo,ship with mast,1905,,,,,,,,,,,,,,,,,,,,,,,
EDR148878,navis cum remis velis malisque,"ship with oars, masts and sails",1926,,,,,,,,,,,,,,,,,,,,,,,
EDR148879,navis cum velo,ship with sail,1961,,,,,,,,,,,,,,,,,,,,,,,
EDR148880,navis cum malo veloque,ship with mast and sail,1971,,,,,,,,,,,,,,,,,,,,,,,
EDR148881,navis cum malo veloque,ship with mast and sail,1972,,,,,,,,,,,,,,,,,,,,,,,
EDR148882,navis,ship,1994,,,,,,,,,,,,,,,,,,,,,,,
EDR149035,retiarius cum tridenti,retiarius with trident,820,,,,,,,,,,,,,,,,,,,,,,,
EDR149038,viri facies barbata ad sin,bearded face of man facing left,333,,,,,,,,,,,,,,,,,,,,,,,
EDR149039,gallus ad sin. rostro cibum carpens,"rooster pecking at food, facing left",1704,,,,,,,,,,,,,,,,,,,,,,,
EDR149142,hominis caput cum naso ingenti,human head with large nose,274,,,,,,,,,,,,,,,,,,,,,,,
EDR149159,caput hominis/ phallus directus versus os capitis illius,man's head/ upright phallus pointing towards man's head,300,,,,,,,,,,,,,,,,,,,,,,,
EDR149190,palmae ramus,palm branch ,,,,,,Plants,,,,,,,,,,,,,,,,,,
EDR149196,"duo gladiatores, a quibus alter, sub SAC, alterum, sub M, tridente petit","two gladiators, one attacking the other with a trident","848, 849",,,,,,,,,,,,,,,,,,,,,,,
EDR149513,palma,palm frond,,,,,,,,,,,,,,,,,,,,,,,,
EDR150296,"figurae duorum gladiatorum, alter retiarius est cum fuscina; alter cum hasta et fortasse cum fuscina armatus est","figures of two gladiators, one is a retiarius with a trident; the other is armed with a spear and perhaps a trident","846, 847",,,,,,,,,,,,,,,,,,,,,,,
EDR150297,figura gladiatoris cum galea ac fortasse scuto,figure of a gladiator with a helmet and perhaps a shield,896,,,,,,,,,,,,,,,,,,,,,,,
EDR150397,casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur,"front of a house flanked on the right and the left by a palm, and whose door is approached by a quadruped who seems to have long horns like a deer",1355,,,,,,,,,,,,,,,,,,,,,,,
EDR151701,hominis facies,human face,224,,,,,,,,,,,,,,,,,,,,,,,
EDR151700 ,hominis figura,human figure,690,,,,,,,,,,,,,,,,,,,,,,,
EDR151705  ,gladiator,gladiator ,883,,,,,,,,,,,,,,,,,,,,,,,
EDR143636,"caput acutum cum nasone longo et corona, gryllus?","pointed head with long nose and garland wreath, caricature?",309,,,,,Human figures,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR154541,phallus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ercolano (still needs english erased),,,,,,,,,,,,,,,,,,,,,,,,,
,Pompeii (needs english erased) ,,,,,,,,,,,,,,,,,,,,,,,,,
