"EDR127418","CIL 04, 08607 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 138 con foto (2)"
"EDR127848","CIL 04, 08584a (1)"
"EDR127850","CIL 04, 08584b (1)"
"EDR128048","CIL 04, 08676b (1)"
"EDR128050","CIL 04, 08670 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 157 con foto (2)"
"EDR128279","CIL 04, 08661 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (2)"
"EDR127213","CIL 04, 08521 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 116 con foto. (2)"
"EDR127425","CIL 04, 08532 (1)"
"EDR127231","CIL 04, 08625b(1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 145, con facsimile et immagine.(2)"
"EDR127233","CIL 04, 08625c (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 145 con foto et facsimile (2)"
"EDR127237","CIL 04, 08629 (nota) (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 (2)"
"EDR127368","CIL 04, 08635 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 150, con foto, facsimile, et immagine. (2)"
"EDR127399","CIL 04, 08657 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 154 con foto e facsimile (2)"
"EDR127573","CIL 04, 08669 (1)"
"EDR127578","CIL 04, 08665 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (2)"
"EDR127806","CIL 04, 08632b (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149, con facsimile et immagine. (2)"
"EDR127808","CIL 04, 08632c (1) <br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149, con immagine. (2)"
"EDR128116","CIL 04, 08626b (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146, con facsimile (2)."
"EDR127192","CIL 04, 08582 (1)"
"EDR127298","CIL 04, 08598 (1)<br>"
"EDR127577","CIL 04, 08674 (1)"
"EDR127579","CIL 04, 08664 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (2)"
"EDR127969","CIL 04, 08584a (1)"
"EDR128013","CIL 04, 08596a (1)"
"EDR128014","CIL 04, 08599 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 135 con foto (2)"
"EDR128049","CIL 04, 08671 (1)"
"EDR128052","CIL 04, 08667 (1)"
"EDR128056","CIL 04, 08663 (1)"
"EDR128057","CIL 04, 08593 (1)"
"EDR128058","CIL 04, 08595 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 134 con foto (2)"
"EDR127823","CIL 04, 08622a (1), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 144 con foto (2)"
"EDR127842","CIL 04, 08522 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 116 con foto (2)"
"EDR128053","CIL 04, 08666a (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 156 con foto (2)"
"EDR128059","CIL 04, 08592b (1)"
"EDR128062","CIL 04, 08596b (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 135 con foto (2)"
"EDR128097","CIL 04, 08637 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 151, con facsimile et immagine (2)."
"EDR128098","CIL 04, 08638 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p.151, con imagine et facsimile (2)."
"EDR127152","CIL 04, 08660 (1) "
"EDR128276","CIL 04, 08655 (1) "
"EDR128545","CIL 04, 08192 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 49 con foto (2) "
"EDR128558","CIL 04, 08207 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 50 con foto (2)"
"EDR127155","CIL 04, 08628 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 147 con facsimile. (2)"
"EDR127187","CIL 04, 08609 (1),<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 140 con foto (2)"
"EDR127366","CIL 04, 08666b (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 156, con foto. (2)"
"EDR127411","CIL 04, 08605 (1), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 137 con foto (2)"
"EDR127811","CIL 04, 08636b (1)"
"EDR127813","CIL 04, 08636c (1)"
"EDR127833","CIL 04, 08639 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 152 con foto (2)"
"EDR127838","CIL 04, 08641 (1) "
"EDR128017","CIL 04, 08571 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 132 con facsimile (2)"
"EDR128055","CIL 04, 08662 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (2)"
"EDR128061","CIL 04, 08602 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (2)"
"EDR128063","CIL 04, 08643 (1) <br>"
"EDR128294","CIL 04, 08599 (nota) (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung Und Bedeutung. Wiesbaden 2001, n. 1680-1682 (aves) (2)"
"EDR128546","CIL 04, 08199 (1)"
"EDR128547","CIL 04, 08201a (1)"
"EDR128548","CIL 04, 08201b (1)"
"EDR128551","CIL 04, 08201c (1)"
"EDR128553","CIL 04, 08190 (1) "
"EDR128557","CIL 04, 08185 (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung Und Bedeutung. Wiesbaden 2001, n. 189 (2)"
"EDR128562","CIL 04, 08189 (1)"
"EDR128564","CIL 04, 08186 (1)"
"EDR127185","CIL 04, 08611 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 140 con foto (2)"
"EDR127194","CIL 04, 08574 (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung Und Bedeutung. Wiesbaden 2001, n. 872 (2)"
"EDR127416","CIL 04, 08579 (1)"
"EDR127807","CIL 04, 08614 (1),<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 141 con foto (2)"
"EDR127809","CIL 04, 08615 (1)"
"EDR127810","CIL 04, 08636a (1) "
"EDR127828","CIL 04, 08566a (1)"
"EDR128064","CIL 04, 08646 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 153 con facsimile (2)"
"EDR128277","CIL 04, 08656a (1) "
"EDR128556","CIL 04, 08210 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 50 con facsimile (2)"
"EDR127412","CIL 04, 08578 (1)"
"EDR127417","CIL 04, 08580a (1) "
"EDR127419","CIL 04, 08607a (1), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 139 con foto (2)"
"EDR127790","CIL 04, 08633 (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149, con facsimile (2)."
"EDR127980","CIL 04, 08587 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 133 con foto e facsimile (2) "
"EDR128118","CIL 04, 08626d (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p.146, con imagine (2). "
"EDR128542","CIL 04, 08208 (1)"
"EDR128552","CIL 04, 08205b (1)<br>"
"EDR128555","CIL 04, 08200 (1) "
"EDR128561","CIL 04, 08202a (1) "
"EDR128565","CIL 04, 08202b (1) "
"EDR128566","CIL 04, 08202c (1) "
"EDR128616","CIL 04, 08206b (1)"
"EDR127186","CIL 04, 08613 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 141 con foto."
"EDR127218","CIL 04, 08597 (nota) (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden 2001, n. 1697 (2)"
"EDR127409","CIL 04, 08604 (1), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 137 con foto (2)"
"EDR127426","CIL 04, 08610 (1),<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 140 con facsimile (2)"
"EDR128582","CIL 04, 08597 (nota) (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden 2001, n. 1435 (equus) (2)"
"EDR128615","CIL 04, 08206a (1)"
"EDR128617","CIL 04, 08209 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 50 con foto (2) "
"EDR128583","CIL 04, 08597 (nota) (1)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden 2001, n. 457 (caput) (2)"
"EDR127398","CIL 04, 08650 (1) "
"EDR128066","CIL 04, 08648 (1) "
"EDR128067","CIL 04, 08649 (1) "
"EDR128080","CIL 04, 08651 (1) "
"EDR128082","CIL 04, 08652 (1) "
"EDR128084","CIL 04, 08654 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 154 con foto (2)"
"EDR128585","CIL 04, 08597 (nota) (1)<br>M.Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden 2001, n. 334 (puella) (2)"
"EDR128660","CIL 04, 08564d (1)"
"EDR127814","CIL 04, 08616a (1)"
"EDR127982","CIL 04, 08589b (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 134 con foto (2)"
"EDR128065","CIL 04, 08647 (1) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 153 con facsimile (2)"
"EDR128567","CIL 04, 08202d (1) "
"EDR128662","CIL 04, 08567 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile (2) "
