"EDR140054","Textus secundum (2), contulerunt at mensuras prehenderunt Lundqvist, Dollings, Thayer, Crawford, et Toscano (HGP) a. 2014.<br>v. 1: FELITER pro FELICITER<br>v. 1: littera F ictu singulo scripta est; littera T pro malo carinae scripta est. <br>Prope EDR140834 et EDR140835"
"EDR140131","Textus secundum (1), contulerunt et mensuras prehenderunt Campbell, Hicks, Rasmussen, Rebman (HGP) a. 2014."
"EDR140145","Textus secundum (1), contulerunt Frampton, Smith, Sypniewski, Weiss et Wells (HGP) a. 2014<br>vv. 1-2: Ciprotti (1) unam N vidit; sola una N videtur a. 2014. "
"EDR140150","Textus secundum (1), contulerunt Lundqvist, Dollings, Thayer, Crawford, et Toscano (HGP) a. 2014.<br>Prope EDR140060"
"EDR140239","Textus secundum (1), contulerunt et mensuras prehenderunt Lundqvist, Dollings, Thayer, Crawford, et Toscano (HGP) a. 2014"
"EDR140250","Textus secundum (1), contulerunt et mensuras prehenderunt Lundqvist, Dollings, Crawford, Thayer, et Toscano (HGP) a. 2014<br>Prope EDR140193"
"EDR140130","Textus secundum (1), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmerman Damer a. 2014.<br>"
"EDR140152","Textus secundum (2), contulerunt et mensuras prehenderunt et emendaverunt (v. 2: suam) Rebman, Rasmussen, Nyhuis, Hicks, Campbell, Helms (HGP) a. 2014. <br>v. 1: tantum HYACINTHUS HIC F possunt legi a. 2014; lat.: 39,0; litt. alt.: 3,0-5,0 secundum (HGP).<br>v. 2: Della Corte apud (1): Verginiae suae s(alutem);  lat.: 24,0; litt. alt.: 2,5 secundum (HGP).<br>v. 2: Varone apud (2) VERGINIAM contulit; SUAM quod in apographo apud (1) videtur, nunc periit. "
"EDR140192","Textus et mensurae secundum (1)<br>Titulus exstabat a. 1994 (2), sed non potuerimus invenere a. 2014."
"EDR140220","Textus et mensurae secundum (1), periit (2)"
